date,convenience_store,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor,item,description,pack,liter_size,state_btl_cost,btl_price,bottle_qty,total
22/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,434,LUXCO,29728,Calvert Gin,6,1750,7.17,10.76,6,64.56
11/06/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,65,Jim Beam Brands,30238,Gilbey's Gin London Dry,6,1750,10.49,15.74,6,94.44
15/10/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,260,Diageo Americas,30318,Gordon's Gin London Dry - Pet,6,1750,11,16.5,2,33
26/03/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31658,Paramount Gin,6,1750,7.11,10.67,6,64.02
26/03/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31658,Paramount Gin,6,1750,7.11,10.67,6,64.02
12/03/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31658,Paramount Gin,6,1750,7.11,10.67,6,64.02
05/02/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31658,Paramount Gin,6,1750,7.11,10.67,6,64.02
09/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,350,PARAMOUNT DISTILLERS INC.,31658,Paramount Gin,6,1750,7.11,10.67,6,64.02
07/05/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,306,Mississippi River Distilling Co.,31990,River Rose Gin,6,750,16.17,24.25,3,72.75
07/05/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,306,Mississippi River Distilling Co.,31990,River Rose Gin,6,750,16.17,24.25,3,72.75
22/10/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32238,Seagram's Extra Dry Gin,6,1750,11.99,17.99,6,107.94
04/06/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1041100,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32238,Seagram's Extra Dry Gin,6,1750,11.99,17.99,6,107.94
28/05/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34008,Absolut Swedish Vodka 80 Prf,6,1750,20,29.99,6,179.94
29/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34008,Absolut Swedish Vodka 80 Prf,6,1750,20,29.99,6,179.94
09/07/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1032080,IMPORTED VODKA,420,Moet Hennessy USA Inc.,34155,Belvedere Vodka,6,750,17.15,25.73,4,102.92
10/09/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1032080,IMPORTED VODKA,65,Jim Beam Brands,34578,Pinnacle Vodka,6,1750,12.08,18.12,6,108.72
03/12/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1032080,IMPORTED VODKA,65,Jim Beam Brands,34578,Pinnacle Vodka,6,1750,12.59,18.89,6,113.34
02/04/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1032080,IMPORTED VODKA,65,Jim Beam Brands,34578,Pinnacle Vodka,6,1750,11.06,17.1,6,102.6
08/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,12,124.56
18/02/2015,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,6,62.28
26/03/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,12,124.56
21/01/2015,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,12,124.56
19/11/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,12,124.56
05/11/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,12,124.56
09/07/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,6,62.28
19/02/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,18,186.84
02/10/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,6,62.28
17/09/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,12,124.56
12/02/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,12,124.56
22/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,6,62.28
10/09/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,259,Heaven Hill Distilleries Inc.,35418,Burnett's Vodka 80 Prf,6,1750,9.79,14.69,6,88.14
07/05/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,259,Heaven Hill Distilleries Inc.,35418,Burnett's Vodka 80 Prf,6,1750,9.79,14.69,6,88.14
19/11/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,259,Heaven Hill Distilleries Inc.,35418,Burnett's Vodka 80 Prf,6,1750,8.79,13.69,6,82.14
19/02/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,259,Heaven Hill Distilleries Inc.,35418,Burnett's Vodka 80 Prf,6,1750,9.79,14.69,6,88.14
11/06/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,259,Heaven Hill Distilleries Inc.,35418,Burnett's Vodka 80 Prf,6,1750,9.79,14.69,6,88.14
23/07/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031200,FLAVORED VODKA,394,Black Rock Spirits,35527,Bakon Vodka,6,750,15,22.5,1,22.5
21/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031200,FLAVORED VODKA,394,Black Rock Spirits,35527,Bakon Vodka,6,750,15,22.5,2,45
21/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031200,FLAVORED VODKA,394,Black Rock Spirits,35527,Bakon Vodka,6,750,15,22.5,2,45
18/02/2015,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,297,Laird And Company,35918,Five O'clock Vodka,6,1750,7.2,10.8,6,64.8
06/08/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,297,Laird And Company,35918,Five O'clock Vodka,6,1750,7.2,10.8,6,64.8
05/03/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,297,Laird And Company,35918,Five O'clock,6,1750,7.2,10.79,12,129.48
26/02/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,297,Laird And Company,35918,Five O'clock,6,1750,7.2,10.79,12,129.48
12/02/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,297,Laird And Company,35918,Five O'clock,6,1750,7.2,10.79,6,64.74
29/01/2014,,2505,Hy-vee Wine and Spirits / B,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,297,Laird And Company,35918,Five O'clock,6,1750,7.2,10.79,12,129.48
12/03/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35948,Fleischmann's Royal Vodka 80 Prf,6,1750,6.68,10.27,6,61.62
23/04/2014,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,55,Sazerac North America,35948,Fleischmann's Royal Vodka 80 Prf,6,1750,7.18,10.77,6,64.62
28/01/2015,,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,"1111 8TH ST
BOONE 50036
(42.063838574000044, -93.875920317999942)",8,Boone,1031080,80 PROOF VODKA,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.17,10.76,30,322.8
